"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\App.css", "PostCSS", 0, 0, 28, 0, 0, 10, 38
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\App.jsx", "JavaScript JSX", 100, 0, 0, 0, 3, 11, 114
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\login\loginUser.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\logout\logoutUser.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\refresh\refreshToken.js", "JavaScript", 0, 21, 0, 0, 0, 4, 25
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\reset\resetPasswordConfirm.js", "JavaScript", 0, 0, 0, 0, 10, 3, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\reset\resetPasswordRequest.js", "JavaScript", 0, 0, 0, 0, 10, 3, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\reset\resetPasswordVerify.js", "JavaScript", 0, 0, 0, 0, 10, 3, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\createBoard.js", "JavaScript", 0, 20, 0, 0, 0, 3, 23
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\deleteBoard.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\getBoards.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
