Date : 2025-06-18 01:23:56
Directory : c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src
Total : 110 files,  5556 codes, 86 comments, 536 blanks, all 6178 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         71 |      4,400 |         43 |        309 |      4,752 |
| JavaScript     |         36 |        929 |         37 |        179 |      1,145 |
| PostCSS        |          2 |        219 |          6 |         48 |        273 |
| XML            |          1 |          8 |          0 |          0 |          8 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        110 |      5,556 |         86 |        536 |      6,178 |
| . (Files)                                                                                                                                     |          4 |        331 |          9 |         61 |        401 |
| api                                                                                                                                           |         18 |        350 |         33 |         71 |        454 |
| api\http                                                                                                                                      |         17 |        314 |         30 |         60 |        404 |
| api\http (Files)                                                                                                                              |          1 |        110 |          0 |         10 |        120 |
| api\http\auth                                                                                                                                 |          6 |         52 |         30 |         19 |        101 |
| api\http\auth\login                                                                                                                           |          1 |         23 |          0 |          4 |         27 |
| api\http\auth\logout                                                                                                                          |          1 |          8 |          0 |          2 |         10 |
| api\http\auth\refresh                                                                                                                         |          1 |         21 |          0 |          4 |         25 |
| api\http\auth\reset                                                                                                                           |          3 |          0 |         30 |          9 |         39 |
| api\http\boards                                                                                                                               |          4 |         58 |          0 |         11 |         69 |
| api\http\user                                                                                                                                 |          6 |         94 |          0 |         20 |        114 |
| api\ws                                                                                                                                        |          1 |         36 |          3 |         11 |         50 |
| assets                                                                                                                                        |          1 |          8 |          0 |          0 |          8 |
| components                                                                                                                                    |         38 |      2,733 |         40 |        161 |      2,934 |
| components\dashboard-components                                                                                                               |          9 |        954 |         40 |         47 |      1,041 |
| components\dashboard-components (Files)                                                                                                       |          5 |        385 |         36 |         21 |        442 |
| components\dashboard-components\modals                                                                                                        |          4 |        569 |          4 |         26 |        599 |
| components\home-components                                                                                                                    |         11 |        550 |          0 |         31 |        581 |
| components\main-components                                                                                                                    |         15 |        928 |          0 |         67 |        995 |
| components\main-components (Files)                                                                                                            |          8 |        337 |          0 |         33 |        370 |
| components\main-components\checkbox                                                                                                           |          2 |         64 |          0 |          6 |         70 |
| components\main-components\nav                                                                                                                |          2 |         20 |          0 |          8 |         28 |
| components\main-components\user                                                                                                               |          3 |        507 |          0 |         20 |        527 |
| components\register-components                                                                                                                |          3 |        301 |          0 |         16 |        317 |
| config                                                                                                                                        |          2 |         77 |          0 |         13 |         90 |
| data                                                                                                                                          |         12 |        580 |          0 |         21 |        601 |
| hooks                                                                                                                                         |          5 |        113 |          0 |         27 |        140 |
| pages                                                                                                                                         |         13 |        861 |          0 |         86 |        947 |
| pages (Files)                                                                                                                                 |          8 |        796 |          0 |         72 |        868 |
| pages\errors                                                                                                                                  |          5 |         65 |          0 |         14 |         79 |
| store                                                                                                                                         |          6 |        243 |          4 |         50 |        297 |
| utils                                                                                                                                         |          6 |        156 |          0 |         25 |        181 |
| utils\color                                                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| utils\date                                                                                                                                    |          1 |          9 |          0 |          1 |         10 |
| utils\filters                                                                                                                                 |          2 |         63 |          0 |         10 |         73 |
| utils\responsesHandler                                                                                                                        |          1 |         66 |          0 |         11 |         77 |
| utils\toast                                                                                                                                   |          1 |         15 |          0 |          2 |         17 |
| validators                                                                                                                                    |          5 |        104 |          0 |         21 |        125 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\App.css                                                      | PostCSS        |         28 |          0 |         10 |         38 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\App.jsx                                                      | JavaScript JSX |        100 |          3 |         11 |        114 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\login\loginUser.js                             | JavaScript     |         23 |          0 |          4 |         27 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\logout\logoutUser.js                           | JavaScript     |          8 |          0 |          2 |         10 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\refresh\refreshToken.js                        | JavaScript     |         21 |          0 |          4 |         25 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\reset\resetPasswordConfirm.js                  | JavaScript     |          0 |         10 |          3 |         13 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\reset\resetPasswordRequest.js                  | JavaScript     |          0 |         10 |          3 |         13 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\auth\reset\resetPasswordVerify.js                   | JavaScript     |          0 |         10 |          3 |         13 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\createBoard.js                               | JavaScript     |         20 |          0 |          3 |         23 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\deleteBoard.js                               | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\getBoards.js                                 | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\boards\updateBoard.js                               | JavaScript     |         24 |          0 |          4 |         28 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\http.js                                             | JavaScript     |        110 |          0 |         10 |        120 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\user\confirmCreateUser.js                           | JavaScript     |         16 |          0 |          3 |         19 |
